idp;a;espar;ori;veget;datemort;c13;v;w
753168;23;24;1;5;2;30;0.033;89.19
753168;26;31;0;5;2;24;0.013;88.42
753185;5;11;0;C;1;42;0.073;88.41
753185;9;22M;1;C;2;95;0.555;39.29
753185;18;11;0;C;2;28;0.023;88.41
753185;19;11;0;C;2;34;0.042;88.41
753185;23;11;0;C;2;34;0.042;88.41
753195;14;62;1;C;2;162;2.351;14.14
753195;15;23SO;1;C;1;40;0.046;88.41
753200;2;10;1;5;2;26;0.015;88.42
753200;5;10;1;5;1;25;0.013;88.42
753200;8;10;1;5;1;30;0.026;88.41
753200;14;10;0;5;2;24;0.011;88.42
753200;19;10;0;C;1;45;0.085;88.41
753200;23;10;0;5;1;42;0.071;88.41
753281;1;52;1;C;2;34;0.029;88.41
753281;6;52;1;5;1;25;0.012;88.42
753281;15;52;1;5;2;24;0.011;88.42
753281;16;52;1;5;1;26;0.014;88.42
753281;18;52;1;5;1;47;0.068;88.41
753281;20;69JC;1;5;1;28;0.015;88.41
753281;21;52;1;5;1;35;0.031;88.41
753390;1;52;1;5;1;96;0.424;39.29
753390;2;52;1;C;1;73;0.211;39.29
753390;17;52;1;5;1;85;0.311;39.29
753441;3;49AM;0;5;1;29;0.017;88.41
753452;9;06;0;5;2;24;0.009;88.42
753452;10;06;0;5;2;24;0.009;88.42
753506;8;10;0;5;1;25;0.013;88.42
753506;9;10;0;5;1;27;0.018;88.41
753506;10;10;0;5;1;28;0.020;88.41
753506;11;10;0;5;1;25;0.013;88.42
753506;12;10;0;5;2;27;0.018;88.41
753506;13;10;0;5;1;30;0.026;88.41
753506;14;10;0;5;1;25;0.013;88.42
753506;15;10;1;5;2;173;1.511;14.14
753506;16;10;0;5;1;24;0.011;88.42
753506;17;10;0;5;1;30;0.026;88.41
753506;18;10;0;5;2;46;0.090;88.41
753506;20;10;0;5;1;52;0.122;88.40
753506;21;10;1;5;2;160;1.311;14.14
753506;25;10;1;5;2;270;3.164;14.14
753506;30;10;1;5;1;28;0.020;88.41
753512;6;52;1;5;1;42;0.051;88.41
753512;11;52;1;C;1;83;0.293;39.29
753512;14;52;1;C;1;69;0.183;88.39
753515;6;14;0;5;2;25;0.015;88.42
753515;8;14;0;5;1;41;0.077;88.41
753515;9;14;0;5;1;29;0.026;88.41
753515;10;14;0;5;1;29;0.026;88.41
753515;11;14;0;5;1;29;0.026;88.41
753515;12;14;0;5;1;39;0.067;88.41
753515;13;14;0;5;1;38;0.062;88.41
753515;16;14;0;5;2;26;0.017;88.42
753562;6;61;1;C;2;147;1.988;14.14
753562;9;09;0;C;2;49;0.109;88.40
753562;13;09;1;C;2;130;1.164;14.14
753562;20;61;1;C;2;162;2.508;14.14
753577;6;25M;0;5;2;24;0.014;88.42
753588;25;23AB;0;5;1;29;0.020;88.41
753599;4;05;0;5;1;24;0.013;88.42
753612;2;02;1;5;2;49;0.121;88.40
753612;5;69JC;1;5;1;64;0.098;88.39
753616;13;62;1;5;1;24;0.008;88.42
753668;1;10;1;5;1;93;0.451;39.29
753668;3;10;1;5;1;27;0.018;88.41
753668;9;10;0;5;1;47;0.095;88.41
753668;20;10;1;5;2;126;0.832;14.14
753668;29;10;0;5;2;31;0.029;88.41
753682;4;05;1;5;2;35;0.037;88.41
753751;2;52;1;C;2;136;1.341;14.14
753770;1;55;1;C;1;133;0.814;14.14
753770;4;55;1;C;1;107;0.480;39.28
753770;7;55;2;C;1;97;0.379;39.29
753790;10;38AU;0;5;2;35;0.027;88.41
753790;11;38AU;0;5;2;30;0.019;88.41
753790;18;38AU;0;5;2;25;0.013;88.42
753816;3;13G;0;5;1;57;0.181;132.71
753843;10;03;1;5;1;119;1.035;14.14
753864;13;10;1;5;2;85;0.373;45.64
753864;14;10;0;5;1;28;0.015;88.41
753864;18;03;1;5;2;25;0.008;88.42
753908;3;25M;0;A;;82;0.259;39.29
753908;4;25M;0;A;;91;0.323;39.29
753954;9;10;0;5;2;24;0.012;142.22
753954;11;10;0;5;2;24;0.012;151.54
754001;9;10;0;5;2;31;0.028;88.41
754020;1;52;1;5;1;156;1.892;14.14
754109;2;64;1;5;1;27;0.015;88.41
754109;13;62;1;5;1;37;0.050;88.41
754111;7;61;1;5;2;35;0.040;88.41
754116;2;05;1;5;2;30;0.017;88.41
754199;1;52;1;A;;82;0.284;39.29
754199;17;52;1;A;;90;0.360;39.29
754240;2;14;0;C;1;32;0.037;88.41
754240;7;14;0;5;2;24;0.012;88.42
754240;12;02;1;5;2;146;1.498;14.14
754240;14;14;0;5;1;45;0.099;88.41
754240;15;14;0;5;1;42;0.082;88.41
754240;16;14;0;5;2;25;0.015;88.42
754242;6;12V;1;5;1;34;0.044;88.41
754242;12;10;0;5;1;27;0.018;88.41
754242;13;12V;0;5;1;52;0.137;88.40
754242;16;12V;0;5;1;41;0.074;88.41
754242;19;10;0;5;1;83;0.354;39.29
754247;6;02;0;5;1;51;0.134;88.40
754266;19;11;0;5;1;25;0.015;88.42
754266;22;15S;0;C;2;84;0.443;39.29
754267;11;13G;1;5;1;27;0.023;88.41
754303;4;10;0;5;1;25;0.015;88.42
754403;14;05;0;5;2;32;0.023;88.41
754403;19;05;0;C;2;29;0.016;88.41
754403;21;22M;0;C;2;25;0.011;88.42
754403;22;22M;0;C;1;37;0.050;88.41
754403;24;22M;0;5;1;45;0.088;88.41
754451;23;61;1;C;1;71;0.326;39.29
754551;5;02;0;5;1;26;0.011;88.42
754551;12;02;1;5;2;55;0.154;88.40
754575;3;09;0;A;;26;0.014;88.42
754575;5;09;0;C;2;24;0.010;88.42
754575;14;03;1;5;2;32;0.025;88.41
754575;26;09;0;C;2;24;0.010;88.42
754578;7;52;1;5;2;47;0.068;88.41
754578;10;52;1;5;2;28;0.017;88.41
754728;7;10;0;5;2;61;0.193;108.24
754774;6;05;1;5;1;33;0.024;88.41
754789;4;05;1;5;2;97;0.469;39.29
754789;5;05;1;5;1;237;3.657;14.14
754792;7;21C;1;5;2;24;0.013;88.42
754792;21;11;0;5;1;30;0.028;88.41
754820;11;02;0;5;1;56;0.161;88.40
754820;12;02;1;5;1;39;0.060;88.41
754820;22;02;0;5;1;48;0.108;88.41
754844;7;03;1;5;2;158;1.975;14.14
754924;1;52;1;A;;53;0.093;88.40
754924;4;52;1;5;1;58;0.117;88.40
754924;5;52;1;A;;67;0.170;88.39
754924;13;52;1;A;;135;1.013;14.14
754924;14;52;1;A;;81;0.275;39.29
754946;3;18C;1;5;1;42;0.066;88.41
754946;9;05;1;5;2;216;2.903;14.61
754946;13;05;0;5;2;54;0.125;88.40
754967;8;61;1;C;2;119;1.162;14.22
754967;11;61;1;C;2;123;1.261;16.29
755016;3;05;1;5;2;65;0.127;88.39
755016;13;05;1;5;2;30;0.017;88.41
755035;9;54;1;C;2;93;0.449;39.29
755041;2;25M;1;5;1;24;0.014;88.42
755090;1;13G;0;5;1;51;0.151;154.66
755090;4;17C;1;5;1;84;0.530;58.37
755090;5;13G;0;5;2;30;0.027;113.00
755090;6;13G;0;5;2;43;0.094;114.99
755090;7;13G;0;5;2;57;0.201;109.70
755090;10;18C;1;5;2;32;0.031;114.79
755090;11;13G;1;5;2;38;0.064;92.94
755090;15;18C;1;5;2;30;0.026;91.71
755090;16;18C;0;5;1;30;0.026;117.44
755090;19;13G;0;5;1;29;0.023;164.27
755090;20;13G;0;5;1;26;0.013;152.22
755090;22;13G;0;5;1;43;0.094;163.31
755100;1;23AB;1;5;1;29;0.022;88.41
755128;9;62;1;C;2;76;0.357;39.29
755128;21;62;1;C;2;92;0.582;57.99
